id,name,city,country
1,Department no. 119 in Balingueo,Balingueo,Philippines
2,Department no. 97 in Boyle,Boyle,Ireland
3,Department no. 30 in Ribeiro,Ribeiro,Portugal
4,Department no. 96 in Manicaragua,Manicaragua,Cuba
5,Department no. 83 in Sulang Tengah,Sulang Tengah,Indonesia
6,Department no. 265 in Hidalgo,Hidalgo,Mexico
7,Department no. 297 in Jhumra,Jhumra,Pakistan
8,Department no. 259 in Kraków,Kraków,Poland
9,Department no. 193 in Tsiombe,Tsiombe,Madagascar
10,Department no. 292 in Baranowo,Baranowo,Poland
11,Department no. 220 in Weekombaka,Weekombaka,Indonesia
12,Department no. 258 in Gryfino,Gryfino,Poland
13,Department no. 54 in Sigetec,Sigetec,Croatia
14,Department no. 263 in Kelaniya,Kelaniya,Sri Lanka
15,Department no. 113 in Farrokh Shahr,Farrokh Shahr,Iran
16,Department no. 62 in Aleksandrovka,Aleksandrovka,Ukraine
17,Department no. 69 in Sinchao,Sinchao,Peru
18,Department no. 78 in Grodków,Grodków,Poland
19,Department no. 271 in Rēzekne,Rēzekne,Latvia
20,Department no. 29 in Parintins,Parintins,Brazil
21,Department no. 61 in Santana do Paraíso,Santana do Paraíso,Brazil
22,Department no. 216 in San Julian,San Julian,Philippines
23,Department no. 161 in Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,France
24,Department no. 304 in Warszawa,Warszawa,Poland
25,Department no. 47 in Hamakita,Hamakita,Japan
